tag,domain_hint,description,added,added_by
iran_conflict,geopolitics,"War between Iran and the US/Israel, Strait of Hormuz access, related strikes and negotiations",2026-08-19,seed
russia_ukraine_war,geopolitics,"The Russia-Ukraine war, including strikes, territory, negotiations and sanctions tied to it",2026-08-19,seed
israel_palestine,geopolitics,"Gaza and West Bank conflict, ceasefire talks, hostages, and Israeli operations in Lebanon",2026-08-19,seed
china_taiwan_tension,geopolitics,"Cross-strait military and diplomatic tension between China and Taiwan",2026-08-19,seed
korea_peninsula,geopolitics,"North and South Korea, US-Korea alliance, nuclear diplomacy",2026-08-19,seed
india_pakistan_relations,geopolitics,"Bilateral tension, border incidents, diplomatic and trade relations",2026-08-19,seed
india_china_relations,geopolitics,"Border disputes, trade and investment restrictions, diplomatic relations",2026-08-19,seed
international_sanctions,geopolitics,"Sanctions regimes and secondary sanctions imposed by any state",2026-08-19,seed
maritime_chokepoints,geopolitics,"Access and security of Hormuz, Suez, Bab el-Mandeb, Malacca and similar routes",2026-08-19,seed
nato_alliances,geopolitics,"NATO and other formal security alliances, force posture, member commitments",2026-08-19,seed
rbi_monetary_policy,india_macro,"RBI rate decisions, liquidity operations, monetary stance and governor statements",2026-08-19,seed
india_inflation,india_macro,"Indian CPI, WPI and food/fuel price levels",2026-08-19,seed
india_fiscal_policy,india_macro,"Union and state budgets, deficits, government borrowing and spending",2026-08-19,seed
india_taxation,india_macro,"GST, income tax, customs duties and tax administration",2026-08-19,seed
india_growth,india_macro,"Indian GDP, industrial production and growth forecasts",2026-08-19,seed
indian_rupee,india_macro,"Rupee exchange rate policy, RBI intervention, and currency-driven pressures",2026-08-19,seed
india_monsoon_agriculture,india_macro,"Monsoon performance, El Nino, crop output, farm policy and rural demand",2026-08-19,seed
india_banking_regulation,india_macro,"Banking rules, NBFC regulation, deposit schemes and financial supervision",2026-08-19,seed
india_capital_markets,india_macro,"SEBI regulation, IPO approvals, exchange rules and market structure",2026-08-19,seed
india_energy_policy,india_macro,"Oil imports, gas infrastructure, refining, LPG/PNG policy and energy security",2026-08-19,seed
india_manufacturing_policy,india_macro,"PLI schemes, semiconductor policy, industrial incentives and supply chains",2026-08-19,seed
india_infrastructure,india_macro,"Roads, ports, railways, power transmission and public infrastructure programmes",2026-08-19,seed
india_labour_employment,india_macro,"Employment data, labour law, wages and workforce policy",2026-08-19,seed
india_state_politics,india_politics,"State elections, coalitions, chief ministers and state-level governance",2026-08-19,seed
india_parliament,india_politics,"Central legislation, parliamentary sessions and party politics at the centre",2026-08-19,seed
india_judiciary,india_politics,"Supreme Court and High Court rulings with policy consequences",2026-08-19,seed
us_monetary_policy,global_macro,"Federal Reserve decisions, rate path and Fed leadership",2026-08-19,seed
us_fiscal_debt,global_macro,"US federal debt, debt ceiling, appropriations and deficits",2026-08-19,seed
us_inflation,global_macro,"US CPI, PCE and price level data",2026-08-19,seed
us_growth_labour,global_macro,"US GDP, payrolls, unemployment and recession risk",2026-08-19,seed
global_trade_tariffs,global_macro,"Tariffs, trade agreements, WTO disputes and trade barriers between any states",2026-08-19,seed
energy_markets_policy,global_macro,"OPEC decisions, production policy, refining capacity and energy supply disruption",2026-08-19,seed
ai_technology_policy,global_macro,"AI regulation, chip export controls, data centre policy and technology governance",2026-08-19,seed
global_financial_stability,global_macro,"Sovereign debt stress, bond market disruption, banking system stability",2026-08-19,seed
china_economy,global_macro,"Chinese growth, stimulus, property sector and industrial overcapacity",2026-08-19,seed
europe_economy,global_macro,"ECB policy, EU fiscal rules and major European economies",2026-08-19,seed
us_elections,us_politics,"Federal and significant state elections, primaries and campaign developments",2026-08-19,seed
us_congress,us_politics,"Legislation, confirmations, committee action and congressional leadership",2026-08-19,seed
us_executive_power,us_politics,"Executive orders, agency restructuring, appointments and removals",2026-08-19,seed
us_courts,us_politics,"Supreme Court and federal court rulings with policy consequences",2026-08-19,seed
us_immigration_policy,us_politics,"Immigration enforcement, visas, deportation and border policy",2026-08-19,seed
us_federal_agencies,us_politics,"Regulatory agencies, their leadership, funding and enforcement actions",2026-08-19,seed
us_state_federal_conflict,us_politics,"Legal and political conflict between states and the federal government",2026-08-19,seed
climate_environment_policy,global_macro,"Emissions rules, land and resource policy, climate commitments and disasters",2026-08-19,seed
public_health_policy,global_macro,"Disease outbreaks, health regulation, drug approval and health system policy",2026-08-19,seed
regional_geopolitics,geopolitics,Auto-created from question: Will the 1996 India-Bangladesh Ganga Water Treaty be renewed on or before 31 December 2026?,2026-08-21,system
domestic_political_pressure,geopolitics,Auto-created from question: Will the 1996 India-Bangladesh Ganga Water Treaty be renewed on or before 31 December 2026?,2026-08-21,system
